Title_en,OctetNo,Contents_en,Note_en,Status
"Statistics over an ensemble reforecast, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",10,Parameter category ,(see Code table 4.1),Operational
"Statistics over an ensemble reforecast, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",11,Parameter number ,(see Code table 4.2),Operational
"Statistics over an ensemble reforecast, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",12,Type of generating process ,(see Code table 4.3),Operational
"Statistics over an ensemble reforecast, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",13,Background generating process identifier ,(defined by originating centre),Operational
"Statistics over an ensemble reforecast, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",14,Forecast generating process identifier ,(defined by originating centre),Operational
"Statistics over an ensemble reforecast, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",15,Indicator of unit of time range ,(see Code table 4.4),Operational
"Statistics over an ensemble reforecast, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",16-19,Forecast time in units defined by octet 15 ,(see Note 1),Operational
"Statistics over an ensemble reforecast, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",20,Type of first fixed surface ,(see Code table 4.5),Operational
"Statistics over an ensemble reforecast, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",21,Scale factor of first fixed surface,,Operational
"Statistics over an ensemble reforecast, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",22-25,Scaled value of first fixed surface,,Operational
"Statistics over an ensemble reforecast, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",26,Type of second fixed surface ,(see Code table 4.5),Operational
"Statistics over an ensemble reforecast, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",27,Scale factor of second fixed surface,,Operational
"Statistics over an ensemble reforecast, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",28-31,Scaled value of second fixed surface,,Operational
"Statistics over an ensemble reforecast, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",32,Type of ensemble forecast ,(see Code table 4.6),Operational
"Statistics over an ensemble reforecast, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",33,Number of forecasts in ensemble,,Operational
"Statistics over an ensemble reforecast, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",34,Number of years in the ensemble reforecast period ,(see Note 2),Operational
"Statistics over an ensemble reforecast, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",35,First year of ensemble reforecast period,,Operational
"Statistics over an ensemble reforecast, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",36,Last year of ensemble reforecast period,,Operational
"Statistics over an ensemble reforecast, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",37,Total number of data values possible (or expected) in statistical process over the ensemble reforecast,,Operational
"Statistics over an ensemble reforecast, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",38-39,Total number of data values missing in statistical process over the ensemble reforecast,,Operational
"Statistics over an ensemble reforecast, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",40,Statistical process used to calculate the processed field over the ensemble reforecast ,(see Code table 4.10),Operational
"Statistics over an ensemble reforecast, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",41-42,Year of model version date ,(see Note 3),Operational
